Name,Year,Price,MSRP,Mileage,Engine,Power,Seats,Depreciation,Car_Age,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
Maruti Dzire LDI,2018,5.9,7.91,28.4,1248.0,73.75,5.0,2.01,7,1,0,0,0,1
Maruti Dzire LDI,2017,6.0,7.91,28.4,1248.0,73.75,5.0,1.9100000000000001,8,1,0,0,0,1
Maruti Swift LDI,2015,5.15,7.01,28.4,1248.0,74.0,5.0,1.8599999999999994,10,1,0,0,0,1
Maruti Dzire AMT ZDI Plus,2018,8.55,10.7,28.4,1248.0,73.75,5.0,2.1499999999999986,7,1,0,0,1,0
Maruti Dzire AMT VDI,2018,8.37,9.62,28.4,1248.0,73.75,5.0,1.25,7,1,0,0,1,0
Maruti Dzire ZDI Plus,2017,8.2,10.48,28.4,1248.0,73.75,5.0,2.280000000000001,8,1,0,0,0,1
Maruti Swift LDI,2016,5.95,7.27,28.4,1248.0,74.0,5.0,1.3199999999999994,9,1,0,0,0,1
Maruti Dzire VDI,2015,5.25,8.36,28.4,1248.0,73.75,5.0,3.1099999999999994,10,1,0,0,0,1
Maruti Swift VDI,2016,5.22,7.88,28.4,1248.0,74.0,5.0,2.66,9,1,0,0,0,1
Maruti Swift VDI,2015,5.36,7.88,28.4,1248.0,74.0,5.0,2.5199999999999996,10,1,0,0,0,1
Maruti Swift VDI,2015,5.1,8.13,28.4,1248.0,74.0,5.0,3.030000000000001,10,1,0,0,0,1
Maruti Dzire AMT ZDI Plus,2017,8.9,10.97,28.4,1248.0,73.75,5.0,2.0700000000000003,8,1,0,0,1,0
Maruti Dzire VDI,2017,6.67,8.58,28.4,1248.0,73.75,5.0,1.9100000000000001,8,1,0,0,0,1
Maruti Dzire AMT ZDI Plus,2017,9.15,11.52,28.4,1248.0,73.75,5.0,2.369999999999999,8,1,0,0,1,0
Maruti Dzire AMT ZDI Plus,2017,9.0,11.26,28.4,1248.0,73.75,5.0,2.26,8,1,0,0,1,0
Maruti Swift LDI,2015,5.25,7.13,28.4,1248.0,74.0,5.0,1.88,10,1,0,0,0,1
Maruti Swift VDI,2017,6.24,7.92,28.4,1248.0,74.0,5.0,1.6799999999999997,8,1,0,0,0,1
Maruti Dzire VDI,2016,5.75,8.58,28.4,1248.0,73.75,5.0,2.83,9,1,0,0,0,1
Honda Amaze VX Diesel,2018,8.5,10.34,27.4,1498.0,98.6,5.0,1.8399999999999999,7,1,0,0,0,1
Honda Amaze S Diesel,2015,5.99,9.09,27.4,1498.0,98.6,5.0,3.0999999999999996,10,1,0,0,0,1
Maruti Baleno Alpha Diesel,2017,8.4,10.63,27.39,1248.0,74.0,5.0,2.2300000000000004,8,1,0,0,0,1
Maruti Baleno Alpha Diesel,2016,6.5,9.53,27.39,1248.0,74.0,5.0,3.0299999999999994,9,1,0,0,0,1
Maruti Baleno Alpha Diesel,2018,8.7,10.28,27.39,1248.0,74.0,5.0,1.58,7,1,0,0,0,1
Honda Jazz VX Diesel,2016,7.4,10.81,27.3,1498.0,98.6,5.0,3.41,9,1,0,0,0,1
Honda Jazz VX Diesel,2016,6.21,11.15,27.3,1498.0,98.6,5.0,4.94,9,1,0,0,0,1
Honda Jazz VX Diesel,2017,8.4,11.05,27.3,1498.0,98.6,5.0,2.6500000000000004,8,1,0,0,0,1
Volvo S60 D4 Momentum,2015,25.0,45.67,27.03,1969.0,190.0,5.0,20.67,10,1,0,0,1,0
Ford Aspire Titanium Diesel,2017,6.0,8.91,26.1,1498.0,99.0,5.0,2.91,8,1,0,0,0,1
